"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2010","European Union - 28 countries","Average population - total","503,807,810","b"
"2010","Belgium","Average population - total","10,895,586",""
"2010","Bulgaria","Average population - total","7,395,599",""
"2010","Czechia","Average population - total","10,474,410",""
"2010","Denmark","Average population - total","5,547,683",""
"2010","Germany (until 1990 former territory of the FRG)","Average population - total","81,776,930",""
"2010","Germany including former GDR","Average population - total","81,776,930",""
"2010","Estonia","Average population - total","1,331,475",""
"2010","Ireland","Average population - total","4,560,155",""
"2010","Greece","Average population - total","11,121,341",""
"2010","Spain","Average population - total","46,576,897",""
"2010","France","Average population - total","64,818,789",""
"2010","Croatia","Average population - total","4,296,352",""
"2010","Italy","Average population - total","59,277,417",""
"2010","Cyprus","Average population - total","829,446",""
"2010","Latvia","Average population - total","2,097,555",""
"2010","Lithuania","Average population - total","3,097,282",""
"2010","Luxembourg","Average population - total","506,953",""
"2010","Hungary","Average population - total","10,000,023",""
"2010","Malta","Average population - total","414,508",""
"2010","Netherlands","Average population - total","16,615,394",""
"2010","Austria","Average population - total","8,363,404",""
"2010","Poland","Average population - total","38,042,794","b"
"2010","Portugal","Average population - total","10,573,100",""
"2010","Romania","Average population - total","20,246,871",""
"2010","Slovenia","Average population - total","2,048,583",""
"2010","Slovakia","Average population - total","5,391,428",""
"2010","Finland","Average population - total","5,363,352",""
"2010","Sweden","Average population - total","9,378,126",""
"2010","United Kingdom","Average population - total","62,766,365",""
"2010","European Economic Area (EU28 plus IS, LI, NO)","Average population - total","509,051,125","b"
"2010","European Economic Area (EU27 plus IS, LI, NO)","Average population - total","504,754,773","b"
"2010","European Free Trade Association","Average population - total","13,068,224",""
"2010","Iceland","Average population - total","318,041",""
"2010","Liechtenstein","Average population - total","36,022",""
"2010","Norway","Average population - total","4,889,252",""
"2010","Switzerland","Average population - total","7,824,909",""
"2010","Montenegro","Average population - total","619,426","b"
"2010","North Macedonia","Average population - total","2,055,003",""
"2010","Albania","Average population - total","2,913,018",""
"2010","Serbia","Average population - total","7,291,436",""
"2010","Turkey","Average population - total","73,142,150",""
"2010","Andorra","Average population - total","84,549",""
"2010","Belarus","Average population - total","9,480,686",""
"2010","Bosnia and Herzegovina","Average population - total","3,843,615",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - total","2,001,144","b"
"2010","Moldova","Average population - total","3,562,063",""
"2010","Monaco","Average population - total",":",""
"2010","Russia","Average population - total","142,385,523",""
"2010","San Marino","Average population - total",":",""
"2010","Ukraine","Average population - total","45,690,386",""
"2010","Armenia","Average population - total","3,256,066",""
"2010","Azerbaijan","Average population - total","9,054,332",""
"2010","Georgia","Average population - total","4,452,821",""
"2011","European Union - 28 countries","Average population - total","503,519,196","b"
"2011","Belgium","Average population - total","11,038,264","b"
"2011","Bulgaria","Average population - total","7,348,328",""
"2011","Czechia","Average population - total","10,496,088",""
"2011","Denmark","Average population - total","5,570,572",""
"2011","Germany (until 1990 former territory of the FRG)","Average population - total","80,274,983","b"
"2011","Germany including former GDR","Average population - total","80,274,983","b"
"2011","Estonia","Average population - total","1,327,439",""
"2011","Ireland","Average population - total","4,580,084",""
"2011","Greece","Average population - total","11,104,899",""
"2011","Spain","Average population - total","46,742,697",""
"2011","France","Average population - total","65,127,852",""
"2011","Croatia","Average population - total","4,282,921",""
"2011","Italy","Average population - total","59,379,449",""
"2011","Cyprus","Average population - total","850,881",""
"2011","Latvia","Average population - total","2,059,709",""
"2011","Lithuania","Average population - total","3,028,115",""
