"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.324.697,3",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","10.587.697,1",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","11.371.754,7",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.215.029,0",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.274.983,0",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.089.864,4",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","346.472,8",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","37.400,2",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","148.682,0",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","231.278,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.445.730,0",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","14.211,8",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","170.100,5",""
"2009","Griechenland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","237.534,2",""
"2009","Spanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.069.323,0",""
"2009","Frankreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.936.422,0",""
"2009","Kroatien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","45.064,1",""
"2009","Italien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.577.255,9",""
"2009","Zypern","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","18.675,5",""
"2009","Lettland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","18.807,4",""
"2009","Litauen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","26.934,8",""
"2009","Luxemburg","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","36.976,5",""
"2009","Ungarn","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","94.382,6",""
"2009","Malta","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","6.138,6",""
"2009","Niederlande","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","624.842,0",""
"2009","Österreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","288.044,0",""
"2009","Polen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","317.081,3",""
"2009","Portugal","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","175.416,4",""
"2009","Rumänien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","125.213,9",""
"2009","Slowenien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","36.254,9",""
"2009","Slowakei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","64.095,5",""
"2009","Finnland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","181.747,0",""
"2009","Schweden","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","313.612,0",""
"2009","Vereinigtes Königreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.737.000,2",""
"2009","Island","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.426,4",""
"2009","Liechtenstein","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen",":",""
"2009","Norwegen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","278.246,6",""
"2009","Schweiz","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","390.207,3",""
"2009","Montenegro","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.993,9",""
"2009","Nordmazedonien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","6.766,5",""
"2009","Albanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","8.662,2",""
"2009","Serbien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","32.486,2",""
"2009","Türkei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","461.925,9",""
"2009","Bosnien und Herzegowina","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.679,3",""
"2009","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","4.069,6",""
"2010","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.845.663,4",""
"2010","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","10.978.267,4",""
"2010","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","11.828.487,4",""
