"TIME","GEO","UNIT","NACE_R2","NA_ITEM","Value","Flag and Footnotes"
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","11.116.342,6",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","172.688,6",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","2.047.016,7",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","1.629.085,2",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","684.669,1",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","2.112.355,2",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","551.186,5",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","637.260,2",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","1.232.012,0",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","1.139.674,8",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","2.150.083,5",""
"2009","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","389.396,1",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","9.534.936,5",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","160.629,6",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","1.810.842,3",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","1.470.131,9",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","595.398,2",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","1.836.131,3",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","451.245,5",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","493.447,7",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","1.036.619,4",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","968.765,2",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","1.843.201,7",""
"2009","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","338.655,5",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","10.269.887,5",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","144.329,5",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","1.836.615,3",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","1.467.585,4",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","614.428,7",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","1.927.392,0",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","511.836,7",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","601.831,7",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","1.165.268,4",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","1.079.179,8",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","2.022.517,8",""
"2009","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","366.487,6",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","8.324.014,7",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","128.245,8",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","1.533.563,4",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","1.257.618,9",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","508.822,1",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","1.587.306,7",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","387.777,7",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","438.212,0",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","935.302,6",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","874.288,0",""
