"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Insgesamt - alle NACE-Wirtschaftszweige","Tonne","4.222.302.635,26","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Land- und Forstwirtschaft, Fischerei","Tonne","526.341.435,45","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Bergbau und Gewinnung von Steinen und Erden","Tonne","105.325.266,89","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verarbeitendes Gewerbe/Herstellung von Waren","Tonne","1.068.424.893,75","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Energieversorgung","Tonne","1.405.189.061,68","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen","Tonne","204.542.383,79","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Baugewerbe/Bau","Tonne","63.581.778,03","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Handel; Instandhaltung und Reparatur von Kraftfahrzeugen","Tonne","85.024.114,77","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verkehr und Lagerei","Tonne","561.085.405,34","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gastgewerbe/Beherbergung und Gastronomie","Tonne","20.250.562,39","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Information und Kommunikation","Tonne","10.572.977,7","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von Finanz- und Versicherungsdienstleistungen","Tonne","9.546.176,6","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Grundstücks- und Wohnungswesen","Tonne","6.793.026,27","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen","Tonne","21.382.442,76","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Tonne","22.048.906,65","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Öffentliche Verwaltung, Verteidigung; Sozialversicherung","Tonne","38.350.407,41","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erziehung und Unterricht","Tonne","21.044.766,37","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gesundheits- und Sozialwesen","Tonne","30.847.862,33","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Kunst, Unterhaltung und Erholung","Tonne","9.110.629,53","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen Dienstleistungen","Tonne","12.585.599,87","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Private Haushalte mit Hauspersonal; Herstellung von Waren und Erbringung von Dienstleistungen durch Private Haushalte für den Eigenbedarf ohne ausgeprägten Schwerpunkt","Tonne","254.898,56","s"
"2008","Europäische Union - 28 Länder","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Exterritoriale Organisationen und Körperschaften","Tonne","39,14","s"
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Insgesamt - alle NACE-Wirtschaftszweige","Tonne","104.330.539,28",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Land- und Forstwirtschaft, Fischerei","Tonne","12.278.996,35",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Bergbau und Gewinnung von Steinen und Erden","Tonne","822.758,09",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verarbeitendes Gewerbe/Herstellung von Waren","Tonne","44.444.509,24",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Energieversorgung","Tonne","21.096.770,04",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen","Tonne","3.184.727,91",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Baugewerbe/Bau","Tonne","2.298.319,64",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Handel; Instandhaltung und Reparatur von Kraftfahrzeugen","Tonne","2.626.871,86",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Verkehr und Lagerei","Tonne","10.090.940,2",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gastgewerbe/Beherbergung und Gastronomie","Tonne","535.376,07",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Information und Kommunikation","Tonne","285.245,98",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von Finanz- und Versicherungsdienstleistungen","Tonne","251.383,64",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Grundstücks- und Wohnungswesen","Tonne","120.589,57",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen","Tonne","902.018,08",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Tonne","1.135.649,87",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Öffentliche Verwaltung, Verteidigung; Sozialversicherung","Tonne","1.595.497,23",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Erziehung und Unterricht","Tonne","965.743,99",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Gesundheits- und Sozialwesen","Tonne","1.012.060,61",""
"2008","Belgien","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente)","Kunst, Unterhaltung und Erholung","Tonne","232.477,32",""
