"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2010","Europäische Union - 28 Länder","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","87.831,49",""
"2010","Europäische Union - 27 Länder (2007-2013)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","87.387,19",""
"2010","Europäische Union - 25 Länder (2004-2006)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","84.832,39",""
"2010","Europäische Union - 15 Länder (1995-2004)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","74.898,50","b"
"2010","Belgien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.509,54",""
"2010","Bulgarien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","553,70",""
"2010","Tschechien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.319,41",""
"2010","Dänemark","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.630,00",""
"2010","Deutschland (bis 1990 früheres Gebiet der BRD)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","12.706,23",""
"2010","Estland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","236,30",""
"2010","Irland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.917,70",""
"2010","Griechenland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","679,00",""
"2010","Spanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.075,08",""
"2010","Frankreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","19.599,00",""
"2010","Kroatien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","444,30",""
"2010","Italien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.832,46","b"
"2010","Zypern","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","54,72",""
"2010","Lettland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","379,49",""
"2010","Litauen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","748,00",""
"2010","Luxemburg","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","194,01",""
"2010","Ungarn","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","682,00",""
"2010","Malta","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","14,95",""
"2010","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","3.960,00",""
"2010","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.013,28",""
"2010","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.561,75",""
"2010","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.502,76",""
"2010","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.001,10",""
"2010","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","470,15",""
"2010","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","467,13",""
"2010","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","908,93",""
"2010","Schweden","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.474,50",""
"2010","Vereinigtes Königreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","9.896,00",""
"2010","Island","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2010","Schweiz","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2010","Montenegro","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2010","Nordmazedonien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2010","Albanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2010","Serbien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","938,00",""
"2010","Türkei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2010","Bosnien und Herzegowina","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","462,00",""
"2010","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)",":",""
"2011","Europäische Union - 28 Länder","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","87.054,22",""
"2011","Europäische Union - 27 Länder (2007-2013)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","86.607,72",""
"2011","Europäische Union - 25 Länder (2004-2006)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","84.051,29",""
"2011","Europäische Union - 15 Länder (1995-2004)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","74.144,92",""
"2011","Belgien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","2.471,60",""
"2011","Bulgarien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","567,53",""
"2011","Tschechien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.339,48",""
"2011","Dänemark","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.612,00",""
"2011","Deutschland (bis 1990 früheres Gebiet der BRD)","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","12.527,84",""
"2011","Estland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","238,30",""
"2011","Irland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.925,32",""
"2011","Griechenland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","681,00",""
"2011","Spanien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.923,11",""
"2011","Frankreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","19.129,00",""
"2011","Kroatien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","446,50",""
"2011","Italien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","6.251,93",""
"2011","Zypern","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","56,92",""
"2011","Lettland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","380,61",""
"2011","Litauen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","752,40",""
"2011","Luxemburg","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","188,09",""
"2011","Ungarn","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","697,00",""
"2011","Malta","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","15,07",""
"2011","Niederlande","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","3.912,00",""
"2011","Österreich","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.976,53",""
"2011","Polen","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","5.500,94",""
"2011","Portugal","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.519,11",""
"2011","Rumänien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","1.988,90",""
"2011","Slowenien","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","462,30",""
"2011","Slowakei","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","463,36",""
"2011","Finnland","Lebende Rinder","Dezember","Tausend Köpfe (Tiere)","902,68",""
