"TIME","GEO","UNIT","AIRPOL","SRC_CRF","Value","Flag and Footnotes"
"2008","Europäische Union - 28 Länder und Island unter dem Kyoto-Protokoll","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Alle Sektoren und indirektes CO2 (ohne LULUCF und Memo-Positionen, einschliesslich internationaler Flugverkehr)","5.199.941,72",""
"2008","Europäische Union - 28 Länder und Island unter dem Kyoto-Protokoll","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Energie","3.986.025,87",""
"2008","Europäische Union - 28 Länder und Island unter dem Kyoto-Protokoll","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Industrielle Prozesse und Produktverwendung","452.976,07",""
"2008","Europäische Union - 28 Länder und Island unter dem Kyoto-Protokoll","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Landwirtschaft","434.846,03",""
"2008","Europäische Union - 28 Länder und Island unter dem Kyoto-Protokoll","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Landnutzung, Landnutzungsänderung und Forstwirtschaft (LULUCF)","-312.270,97",""
"2008","Europäische Union - 28 Länder und Island unter dem Kyoto-Protokoll","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Abfall- und Abwasserbehandlung","181.684,09",""
"2008","Europäische Union - 28 Länder und Island unter dem Kyoto-Protokoll","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Andere Sektoren","0",""
"2008","Europäische Union - 28 Länder","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Alle Sektoren und indirektes CO2 (ohne LULUCF und Memo-Positionen, einschliesslich internationaler Flugverkehr)","5.191.050,15",""
"2008","Europäische Union - 28 Länder","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Energie","3.981.143,01",""
"2008","Europäische Union - 28 Länder","Tausend Tonnen","Treibhausgase (CO2, N2O in CO2 Äquivalente, CH4 in CO2 Äquivalente, HFC in CO2 Äquivalente, PFC in CO2 Äquivalente, SF6 in CO2 Äquivalente, NF3 in CO2 Äquivalente)","Industrielle Prozesse und Produktverwendung","450.780,3",""
